Informacja dodatkowa;Liczba wypadków;Liczba zabitych;Liczba rannych;Liczba kolizji
Inne;1384;61;1662;28935
Najechanie na barierê ochronn¹;397;33;496;8292
Najechanie na drzewo;1870;425;2278;4542
Najechanie na dziurê, wybój, garb;38;0;44;7649
Najechanie na pieszego;8255;859;7838;7345
Najechanie na pojazd unieruchomiony;328;37;392;39940
Najechanie na s³up, znak;578;59;679;11002
Najechanie na zapore kolejow¹;5;0;5;1011
Najechanie na zwierzê;182;14;213;23164
Wypadek z pasa¿erem;518;11;581;211
Wywrócenie siê pojazdu;2625;188;3244;10300
Zderzenie pojazdów boczne;10031;584;12706;144777
Zderzenie pojazdów czo³owe;3186;590;5002;13507
Zderzenie pojazdów tylne;4267;165;5626;105947
Podsumowanie ca³kowite;33664;3026;40766;406622
