Województwo;Liczba Wypadkow;Liczba Zabitych;Liczba Rannych;Liczba Kolizji
DOLNOŚLĄSKIE;2324;226;2907;39147
KUJAWSKO-POMORSKIE;1018;178;1101;25811
LUBELSKIE;1262;178;1484;18642
LUBUSKIE;684;113;878;11799
ŁÓDZKIE;4222;214;5298;26270
MAŁOPOLSKIE;3939;185;4764;29584
MAZOWIECKIE;4078;508;4878;63267
OPOLSKIE;754;99;859;9087
PODKARPACKIE;1682;141;2019;17478
PODLASKIE;686;120;834;12246
POMORSKIE;2725;144;3357;23879
ŚLĄSKIE;3650;257;4347;49545
ŚWIĘTOKRZYSKIE;1365;107;1724;11711
WARMIŃSKO-MAZURSKIE;1627;158;2025;15678
WIELKOPOLSKIE;2316;249;2683;34548
ZACHODNIOPOMORSKIE;1332;149;1608;17930
Podsumowanie;33664;3026;40766;406622
