<<<<<<< Updated upstream:Bazy/2016/pojazd-sprawcy.csv
Rodzaj pojazdu;Liczba wypadków;Liczba zabitych;Liczba rannych;Liczba kolizji
Autobus inny;101;4;156;1386
Autobus komunikacji publicznej;318;11;452;2312
Ci¹gnik rolniczy;118;16;133;1446
Czteroko³owiec;32;6;33;57
Czteroko³owiec lekki;19;3;17;68
Inny pojazd;66;4;77;941
Motocykl inny;823;132;801;1809
Motocykl o poj. do 125 cm3 ( do 11 kw/0,1 KW/kg);172;16;176;445
Motorower;731;54;762;2434
Poci¹g;0;0;0;3
Pojazd nieustalony;532;11;576;13045
Pojazd uprzywilejowany;3;0;8;93
Pojazd wolnobie¿ny;2;0;2;31
Rower;1778;139;1703;4117
Samochód ciê¿arowy DMC do 3,5 T;1297;122;1643;18853
Samochód ciê¿arowy DMC powy¿ej 3,5 T;904;108;1165;20762
Samochód osobowy;22134;1657;28342;279828
Tramwaj, trolejbus;51;1;104;215
Podsumowanie ca³kowite;29081;2284;36150;347845
=======
Rodzaj pojazdu;Liczba wypadków;Liczba zabitych;Liczba rannych;Liczba kolizji
Autobus inny;101;4;156;1386
Autobus komunikacji publicznej;318;11;452;2312
Ci¹gnik rolniczy;118;16;133;1446
Czteroko³owiec;32;6;33;57
Czteroko³owiec lekki;19;3;17;68
Inny;71;4;87;1065
Motocykl inny;823;132;801;1809
Motocykl o poj. do 125 cm3 ( do 11 kw/0,1 KW/kg);172;16;176;445
Motorower;731;54;762;2434
Poci¹g;0;0;0;3
Pojazd nieustalony;532;11;576;13045
Rower;1778;139;1703;4117
Samochód ciê¿arowy DMC do 3,5 T;1297;122;1643;18853
Samochód ciê¿arowy DMC powy¿ej 3,5 T;904;108;1165;20762
Samochód osobowy;22134;1657;28342;279828
Tramwaj, trolejbus;51;1;104;215
Podsumowanie;29081;2284;36150;347845
>>>>>>> Stashed changes:Test/Bazy/2016/Pojazd_sprawcy.csv
