Inne przyczyny;Liczba wypadków;Liczba zabitych;Liczba rannych;Liczba kolizji
Działanie sygnalizacji świetlnej;0;0;0;2
Inne;219;10;265;7916
Nieprawidłowo działająca zapora kolej.;0;0;0;9
Niesprawność techniczna pojazdu;60;8;77;696
Nieustalone;869;253;1000;7984
Obiekty, zwierzęta na drodze;321;21;393;25066
Organizacja ruchu;3;0;3;31
Oślepienie przez inny pojazd lub s這鎍e;29;4;29;132
Pożar pojazdu;0;0;0;234
Stan jezdni;39;2;38;4303
Utrata przytomności, śmierć kierującego;86;5;101;383
Z winy pasażera;142;1;149;375
Zabezpieczenie robót na drodze;5;0;6;403
Podsumowanie całkowite;1773;304;2061;47534
