Statystyka ogólna w podziale na godziny;;;;
;;;;
;;;;
;2017;;;
Godzina zdarzenia;Liczba wypadków;Liczba zabitych;Liczba rannych;Liczba kolizji
0;324;53;423;3847
1;266;47;321;2819
2;198;46;277;2311
3;194;53;252;2122
4;264;63;352;2710
5;768;104;947;5793
6;1254;152;1476;11549
7;1672;95;2034;19827
8;1437;100;1726;22489
9;1487;112;1743;23500
10;1719;120;2088;26518
11;1814;129;2192;29023
12;1896;114;2336;29675
13;2110;130;2609;29948
14;2320;136;2894;34129
15;2398;138;2906;35119
16;2758;224;3290;35802
17;2471;198;2870;30655
18;2128;188;2513;25377
19;1771;166;2063;19797
20;1288;164;1497;15719
21;987;125;1185;12072
22;769;104;890;9766
23;467;70;582;5902
Podsumowanie ca³kowite;32760;2831;39466;436469
;;;;
