Inne przyczyny;Liczba wypadków;Liczba zabitych;Liczba rannych;Liczba kolizji
Działanie sygnalizacji świetlnej;0;0;0;5
Inne;166;11;186;4558
Nieprawidłowo działająca zapora kolej.;1;1;1;9
Niesprawność techniczna pojazdu;40;6;49;612
Nieustalone;830;231;892;9103
Obiekty, zwierzęta na drodze;334;14;400;27224
Organizacja ruchu;0;0;0;41
Oślepienie przez inny pojazd lub słońce;23;2;26;124
Pożar pojazdu;0;0;0;234
Stan jezdni;70;1;78;12989
Utrata przytomności, śmierć kierującego;58;4;68;316
Z winy pasażera;130;3;134;382
Zabezpieczenie robót na drodze;2;0;2;508
Podsumowanie;1654;273;1836;56105
