Przyczyny - Zachowanie siê kieruj¹cego;;;;
;;;;
;;;;
;2017;;;
Zachowanie kieruj¹cego;Liczba wypadków;Liczba zabitych;Liczba rannych;Liczba kolizji
Gwa³towne hamowanie;212;6;256;873
Inne przyczyny;1369;196;1531;18247
Jazda bez wymaganych œwiate³;36;7;39;70
Niedostosowanie prêdkoœci do warunków ruchu;6837;786;8963;61408
Nieprawid³owe cofanie;468;20;464;42326
Nieprawid³owe omijanie;426;39;463;23678
Nieprawid³owe przeje¿d¿anie przejazdu dla rowerzystów;205;5;202;344
Nieprawid³owe skrêcanie;746;50;866;14992
Nieprawid³owe wymijanie;558;66;769;10373
Nieprawid³owe wyprzedzanie;1323;158;1648;9538
Nieprawid³owe zatrzymywanie, postój;18;1;23;942
Nieprawid³owe Zawracanie;124;7;160;1500
Nieprawid³owe zmienianie pasa ruchu;732;58;930;28303
Nieprzestrzeganie znaków i innych sygna³ów;135;3;181;2072
Niestosowanie siê do sygnalizacji œwietlnej;458;12;619;3954
Nieust¹pienie pierwszeñstwa pieszemu na przejœciu dla pieszych;3408;205;3419;2715
Nieust¹pienie pierwszeñstwa pieszemu przy skrêcaniu w drogê poprzeczn¹;191;0;193;257
Nieust¹pienie pierwszeñstwa pieszemu w innych okolicznoœciach;495;39;474;590
Nieust¹pienie pierwszeñstwa przejazdu;7416;315;9550;73223
Niezachowanie bezp. odleg. miêdzy pojazdami;2555;48;3445;70364
Omijanie pojazdu przed przejœciem dla pieszych;64;3;68;102
Wyprzedzanie pojazdu przed przejœciem dla pieszych;14;0;15;27
Zmêczenie, zaœniêcie;569;67;888;2408
Podsumowanie ca³kowite;28359;2091;35166;368306
;;;;
