Przyczyny - Zachowanie siê pieszego;;;;
;;;;
;;;;
;2017;;;
Zachowanie pieszego;Liczba wypadków;Liczba zabitych;Liczba rannych;Liczba kolizji
Chodzenie nieprawid³ow¹ stron¹ drogi;107;41;70;116
Inne przyczyny;140;22;123;344
Le¿enie, siedzenie, klêczenie, stanie na jezdni;129;73;64;55
Nieostro¿ne wejœcie na jezdniê: przed jad¹cym pojazdem;1184;188;1021;1346
Nieostro¿ne wejœcie na jezdniê: zza pojazdu, przeszkody;268;18;253;281
Przekraczanie jezdni w miejscu niedozwolonym;289;58;238;255
Wejœcie na jezdniê przy czerwonym œwietle;247;24;229;234
Zatrzymanie, cofniêcie siê;14;1;14;11
Podsumowanie ca³kowite;2378;425;2012;2642
;;;;
