Informacja dodatkowa;Liczba wypadków;Liczba zabitych;Liczba rannych;Liczba kolizji
Inne;1493;58;1802;34466
Najechanie na barierê ochronn¹;352;39;424;8686
Najechanie na drzewo;1667;376;1957;4657
Najechanie na dziurê, wybój, garb;46;1;58;12234
Najechanie na pieszego;7911;861;7473;7093
Najechanie na pojazd unieruchomiony;345;35;436;45600
Najechanie na s³up, znak;555;71;657;11541
Najechanie na zapore kolejow¹;1;0;1;1066
Najechanie na zwierzê;195;10;229;24594
Wypadek z pasa¿erem;555;8;629;100
Wywrócenie siê pojazdu;2349;186;2803;10069
Zderzenie pojazdów boczne;9820;528;12381;154205
Zderzenie pojazdów czo³owe;3172;507;4940;13568
Zderzenie pojazdów tylne;4299;151;5676;108590
Podsumowanie ca³kowite;32760;2831;39466;436469
