Ofiary - rodzaj u¿ytkownika drogi;;
;;
;;
;2018;
Rodzaj u¿ytkownika drogi;Liczba zabitych;Liczba rannych
Motorowerzyœci;75;1266
Piesi;803;6918
Pojazd nieustalony;0;27
Rowerzyœci;286;4259
U¿ytkownicy autobusów;19;1195
U¿ytkownicy ci¹gników;13;90
U¿ytkownicy czteroko³owców;12;66
U¿ytkownicy innych pojazdów;5;70
U¿ytkownicy motocykli;238;2473
U¿ytkownicy poci¹gu;0;28
U¿ytkownicy samochodów ciê¿arowych;119;1202
U¿ytkownicy samochodów osobowych;1291;19546
U¿ytkownicy tramwajów i trolejbusów;1;219
Podsumowanie;2862;37359
